skill_match_percentage,semantic_similarity_percentage,relevant_experience_years,interview_score,assessment_score,required_skills_matched,total_required_skills,skill_gap_percentage,success
77.1,72.3,4.3,72.7,62.1,7,9,22.9,0
62.5,93.7,2.2,66.4,45.0,3,4,37.5,0
96.6,100.0,1.9,54.3,82.9,8,8,3.4,1
43.7,50.2,3.4,62.0,39.1,4,9,56.3,0
35.7,51.2,1.2,66.4,41.7,2,5,64.3,0
88.2,91.8,1.2,26.7,63.1,4,4,11.8,0
30.1,26.2,5.4,73.2,26.6,2,7,69.9,0
96.7,93.7,1.2,47.4,73.9,5,5,3.3,1
11.1,10.0,0.6,44.2,21.8,0,4,88.9,0
97.3,96.7,1.9,34.6,78.2,8,8,2.7,0
13.9,24.8,2.3,32.7,20.6,0,3,86.1,0
90.2,91.0,4.7,40.6,50.8,3,3,9.8,1
57.5,68.5,2.0,52.2,45.2,4,7,42.5,0
99.4,98.2,8.5,100.0,82.6,5,5,0.6,1
16.6,17.8,3.6,55.5,22.0,1,8,83.4,0
59.8,29.9,1.7,68.2,48.4,2,4,40.2,0
97.2,100.0,4.5,72.2,83.2,4,4,2.8,1
57.1,62.3,8.4,67.4,42.1,2,3,42.9,0
66.6,81.6,5.3,63.6,39.6,5,8,33.4,0
72.6,29.2,0.8,43.5,57.0,7,9,27.4,0
50.9,82.2,2.4,91.1,40.7,4,7,49.1,0
66.5,64.4,4.0,97.5,45.2,2,3,33.5,0
62.6,79.2,5.2,34.7,50.8,2,3,37.4,0
91.1,75.5,2.9,46.6,74.6,6,7,8.9,1
14.1,23.3,2.6,60.0,23.4,1,5,85.9,0
35.3,19.5,10.4,47.6,39.2,1,4,64.7,0
95.5,86.2,5.4,74.1,90.5,5,5,4.5,1
90.1,100.0,4.5,51.9,65.6,7,8,9.9,1
51.0,48.1,2.1,100.0,48.4,5,9,49.0,0
65.8,69.1,1.2,86.4,49.4,4,6,34.2,0
35.0,48.0,4.6,68.8,27.5,2,6,65.0,0
26.9,34.4,5.8,83.5,25.3,2,6,73.1,0
51.7,54.0,3.3,84.9,41.3,4,7,48.3,0
41.8,47.3,5.4,54.8,43.7,1,3,58.2,0
62.5,98.6,5.5,50.3,76.0,6,9,37.5,0
17.0,16.1,6.0,66.4,18.0,1,5,83.0,0
97.7,100.0,0.7,80.5,69.5,4,4,2.3,1
98.8,100.0,2.5,67.5,73.6,6,6,1.2,1
72.8,89.4,4.8,36.6,62.7,4,5,27.2,0
58.2,76.1,3.5,50.5,52.6,3,6,41.8,0
37.9,47.4,5.5,63.7,50.6,3,9,62.1,0
83.2,66.1,4.5,63.6,40.7,5,6,16.8,1
71.6,96.1,0.3,100.0,34.1,3,4,28.4,1
24.6,7.4,7.0,40.1,24.8,2,8,75.4,0
92.0,96.5,2.2,74.1,81.2,7,8,8.0,1
84.0,72.7,1.6,91.8,49.8,8,9,16.0,1
95.5,94.5,6.9,100.0,42.2,8,8,4.5,1
75.3,80.2,5.2,57.7,65.9,5,7,24.7,0
65.2,70.0,7.5,73.8,56.6,2,3,34.8,1
47.6,54.0,4.1,75.3,32.7,3,7,52.4,0
93.9,100.0,2.5,68.5,61.5,5,5,6.1,1
87.9,94.7,3.7,63.2,58.1,6,7,12.1,0
14.1,10.4,1.3,72.8,24.5,1,5,85.9,0
12.4,26.8,0.9,19.4,16.2,1,5,87.6,0
43.9,61.7,2.0,77.3,46.3,1,3,56.1,0
82.9,64.5,9.1,67.3,36.2,3,4,17.1,0
98.9,100.0,2.1,61.0,65.7,9,9,1.1,1
23.5,34.1,0.6,100.0,17.9,1,3,76.5,0
63.5,59.0,2.9,52.9,50.5,6,9,36.5,0
44.3,64.9,2.1,57.7,36.2,4,8,55.7,0
97.3,95.0,7.1,100.0,81.4,8,8,2.7,1
85.8,87.7,8.6,50.0,47.9,6,7,14.2,0
85.4,82.9,2.4,55.1,66.7,4,5,14.6,0
52.2,52.4,4.1,62.4,51.9,3,6,47.8,0
47.3,30.9,4.3,80.1,62.0,3,6,52.7,0
34.6,13.0,3.2,68.7,30.9,3,9,65.4,0
15.1,39.0,2.8,41.7,27.3,1,5,84.9,0
87.8,75.1,1.5,55.4,49.7,8,9,12.2,0
83.2,68.3,0.5,54.1,41.0,2,3,16.8,0
100.0,67.7,1.5,63.6,83.4,4,4,0.0,0
99.7,90.1,3.1,72.7,74.8,3,3,0.3,1
60.0,40.1,0.8,72.5,62.8,3,5,40.0,0
79.2,100.0,3.9,33.0,48.8,4,5,20.8,0
95.0,100.0,3.5,84.2,77.2,4,4,5.0,1
86.5,76.1,2.1,69.5,85.6,8,9,13.5,1
32.3,66.0,2.7,89.9,38.6,2,7,67.7,0
50.5,65.3,1.0,73.0,48.1,4,7,49.5,0
21.6,16.8,6.0,84.8,28.1,1,4,78.4,0
95.9,58.4,5.9,73.4,56.8,7,7,4.1,1
64.6,98.9,1.2,89.2,67.3,4,6,35.4,1
30.6,9.7,1.2,74.4,27.2,2,7,69.4,0
70.5,45.8,1.5,63.2,62.3,5,7,29.5,0
65.6,81.0,5.0,100.0,38.7,5,7,34.4,1
42.2,78.8,4.3,81.0,28.5,3,6,57.8,0
20.2,41.0,6.8,75.3,41.5,2,9,79.8,0
70.4,78.9,7.4,42.0,53.8,5,7,29.6,0
56.8,65.7,0.7,41.8,63.6,5,8,43.2,0
79.5,92.3,4.8,70.3,61.9,5,6,20.5,1
56.8,68.2,7.2,67.6,30.7,2,4,43.2,0
86.7,90.9,2.5,53.9,75.9,3,3,13.3,1
59.7,61.2,3.3,67.5,44.9,2,4,40.3,0
60.5,59.5,2.9,93.6,58.3,2,3,39.5,0
88.9,77.6,3.0,77.5,68.6,4,4,11.1,1
46.3,42.1,6.0,44.5,27.4,4,8,53.7,0
22.1,0.0,10.2,63.0,29.9,1,3,77.9,0
12.6,11.1,8.3,50.5,44.5,0,3,87.4,0
78.0,63.1,2.2,58.0,66.7,4,5,22.0,0
65.8,49.3,4.1,57.6,53.9,2,3,34.2,0
73.4,76.1,1.7,56.4,69.8,2,3,26.6,0
29.2,50.0,1.8,42.4,34.6,1,5,70.8,0
22.3,36.0,3.2,62.7,30.5,2,7,77.7,0
11.3,0.0,1.8,54.9,10.9,1,7,88.7,0
41.6,26.7,2.0,12.3,42.3,2,5,58.4,0
63.1,77.2,4.0,100.0,63.2,4,6,36.9,1
45.3,30.6,4.8,84.6,33.8,1,3,54.7,0
49.4,46.0,4.7,58.2,58.9,1,3,50.6,0
91.4,99.6,4.7,65.3,68.9,5,5,8.6,1
41.3,26.8,1.1,43.9,30.9,2,5,58.7,0
56.3,57.8,1.7,95.5,58.7,3,6,43.7,0
80.5,60.5,3.4,99.2,60.4,6,8,19.5,0
45.7,36.7,6.9,67.8,50.0,3,7,54.3,0
66.0,70.8,13.9,83.4,51.7,3,4,34.0,0
87.6,63.7,4.2,68.2,67.0,7,8,12.4,1
95.5,100.0,5.6,40.9,77.2,9,9,4.5,1
23.2,22.9,0.9,57.6,31.9,2,7,76.8,0
93.4,100.0,5.5,67.4,51.1,3,3,6.6,1
54.3,57.6,11.6,56.8,36.4,5,9,45.7,0
33.2,53.7,1.7,61.1,44.2,3,8,66.8,0
51.3,53.2,2.1,63.4,44.5,3,5,48.7,0
98.2,91.8,6.1,63.5,68.7,6,6,1.8,1
54.3,56.2,3.4,65.9,34.0,4,7,45.7,0
39.6,47.7,0.4,45.9,28.0,2,6,60.4,0
67.0,67.7,2.2,52.1,35.0,6,9,33.0,0
31.6,32.2,8.6,41.9,33.0,2,7,68.4,0
16.8,6.3,2.7,82.6,19.1,1,8,83.2,0
21.6,11.7,2.7,27.1,18.3,1,3,78.4,0
21.5,0.5,5.8,85.8,27.2,1,4,78.5,0
23.7,49.9,4.3,90.0,32.8,1,6,76.3,0
22.5,3.8,2.5,59.6,49.4,1,6,77.5,0
67.7,57.3,2.0,18.1,40.5,3,4,32.3,0
26.4,15.6,15.0,58.5,42.4,2,6,73.6,0
41.1,54.5,7.7,63.8,49.4,2,6,58.9,0
90.7,86.3,4.7,46.8,61.6,6,7,9.3,0
52.7,71.4,5.0,55.7,48.6,4,7,47.3,0
70.1,60.0,3.0,92.5,52.5,3,4,29.9,0
25.5,29.7,4.3,77.0,32.2,2,9,74.5,0
27.3,14.8,2.8,48.4,46.5,1,3,72.7,0
13.7,45.9,1.6,36.2,29.3,1,8,86.3,0
25.2,7.4,4.4,59.1,35.2,2,8,74.8,0
35.1,39.7,2.6,61.2,31.7,3,9,64.9,0
25.9,35.4,4.5,73.9,15.7,2,6,74.1,0
18.0,24.2,5.2,55.4,23.7,1,3,82.0,0
20.9,18.1,4.7,74.2,39.6,1,4,79.1,0
51.5,49.5,1.5,99.8,30.6,5,9,48.5,0
28.6,29.2,2.4,79.7,21.6,1,4,71.4,0
42.8,40.6,2.6,64.1,41.9,3,7,57.2,0
55.3,69.8,6.5,61.7,38.3,3,6,44.7,0
72.1,100.0,6.3,58.6,50.4,4,5,27.9,0
13.5,5.2,1.8,86.3,18.9,1,4,86.5,0
81.9,61.4,1.0,53.7,50.5,7,9,18.1,1
66.5,65.2,14.3,65.8,45.2,4,6,33.5,0
17.4,56.1,4.6,65.9,32.4,1,3,82.6,0
88.6,76.6,0.9,56.0,55.1,8,9,11.4,1
92.9,100.0,2.1,40.3,54.7,7,7,7.1,1
15.5,40.7,6.7,70.8,18.0,1,8,84.5,0
34.9,26.6,12.2,63.9,43.3,1,3,65.1,0
82.6,91.1,10.9,74.0,62.6,3,4,17.4,1
77.3,100.0,4.4,55.4,56.8,3,4,22.7,0
26.6,20.9,3.3,87.0,31.4,1,3,73.4,0
28.8,25.8,1.3,49.2,14.8,1,4,71.2,0
43.3,34.6,3.6,95.8,46.0,4,9,56.7,0
53.6,38.4,1.5,33.5,51.0,3,6,46.4,0
65.6,55.9,2.4,72.8,50.3,3,4,34.4,0
43.2,24.8,6.1,73.6,51.0,3,7,56.8,0
51.6,52.1,2.8,50.7,34.7,3,6,48.4,0
77.3,65.7,2.6,72.6,72.6,7,9,22.7,1
13.3,16.8,3.2,88.0,24.5,1,5,86.7,0
32.7,9.4,15.0,25.1,31.3,1,4,67.3,0
74.2,79.2,1.2,74.0,59.3,3,4,25.8,1
90.6,100.0,4.1,20.1,68.3,6,7,9.4,1
56.1,26.1,10.2,47.6,60.8,5,9,43.9,0
57.9,63.5,3.2,94.3,39.0,4,7,42.1,0
19.6,38.1,7.6,54.5,19.2,2,8,80.4,0
50.3,32.1,1.0,43.9,55.5,5,9,49.7,0
57.9,83.0,2.8,61.4,43.8,2,3,42.1,0
31.8,38.1,1.7,100.0,43.1,1,3,68.2,0
34.2,23.7,3.2,32.0,52.5,1,3,65.8,0
44.0,43.1,3.2,46.1,37.4,3,7,56.0,0
11.8,20.2,3.5,92.0,28.9,0,3,88.2,0
39.0,40.1,6.0,98.4,26.9,4,9,61.0,0
29.0,37.1,0.2,63.1,40.0,1,3,71.0,0
39.5,25.7,2.0,42.7,40.7,2,5,60.5,0
20.8,23.3,3.9,100.0,32.2,1,3,79.2,0
90.1,68.9,0.5,93.7,62.6,4,4,9.9,1
63.4,61.8,5.2,77.2,36.4,5,8,36.6,0
71.1,57.6,2.0,50.4,62.7,5,7,28.9,0
81.0,70.0,2.9,64.1,43.0,5,6,19.0,0
54.9,73.4,6.2,62.1,44.7,4,8,45.1,0
17.8,34.2,7.8,71.0,35.1,1,5,82.2,0
58.3,67.5,5.3,91.1,51.9,4,7,41.7,0
62.8,46.4,1.2,80.8,72.2,6,9,37.2,0
77.1,72.3,5.1,45.6,71.5,5,7,22.9,0
48.8,67.0,5.4,89.8,37.8,2,4,51.2,0
21.5,23.6,4.7,70.6,28.2,2,9,78.5,0
35.5,70.3,8.7,77.4,35.9,3,8,64.5,0
42.7,48.6,3.6,91.4,24.8,3,8,57.3,0
68.1,71.0,8.5,45.0,46.5,2,3,31.9,0
61.4,56.7,8.4,64.4,46.2,6,9,38.6,0
42.0,44.1,5.5,55.4,19.9,2,4,58.0,0
98.8,96.5,4.2,36.8,74.7,3,3,1.2,1
64.5,75.1,4.7,71.2,51.2,2,3,35.5,0
31.4,45.7,9.9,100.0,17.1,2,7,68.6,0
19.2,7.4,6.9,31.9,30.5,2,8,80.8,0
23.8,3.8,1.3,64.4,36.4,1,3,76.2,0
32.1,4.6,4.5,76.5,36.6,2,5,67.9,0
24.5,32.1,1.6,67.2,26.4,1,5,75.5,0
26.8,10.2,1.9,63.0,37.0,2,8,73.2,0
35.7,3.4,2.5,41.6,43.2,2,5,64.3,0
25.6,31.4,0.9,69.2,33.4,2,7,74.4,0
90.7,100.0,1.5,51.4,61.2,4,4,9.3,0
17.2,17.1,9.0,25.6,28.1,1,6,82.8,0
57.2,69.8,1.9,86.5,61.3,2,3,42.8,0
46.9,48.2,6.1,82.3,37.2,3,6,53.1,0
98.4,96.9,3.8,65.9,95.0,4,4,1.6,1
20.1,33.9,5.0,69.1,21.8,1,4,79.9,0
45.8,41.5,5.1,84.3,42.8,3,7,54.2,0
97.3,100.0,1.4,69.0,66.6,5,5,2.7,1
87.9,92.7,6.0,81.3,70.0,4,5,12.1,1
83.5,73.5,1.1,59.6,47.7,3,4,16.5,0
33.2,48.1,1.8,88.6,29.5,2,7,66.8,0
25.4,22.8,5.1,70.8,19.3,2,7,74.6,0
70.2,58.8,1.3,68.5,58.5,6,8,29.8,0
93.6,100.0,0.4,42.1,81.1,8,9,6.4,0
60.1,46.6,4.3,70.2,57.5,2,3,39.9,0
61.4,61.9,0.7,50.0,28.2,6,9,38.6,0
35.2,35.1,5.4,53.5,56.5,2,5,64.8,0
79.3,95.5,2.6,50.3,65.5,3,4,20.7,1
26.8,34.0,4.3,45.8,23.3,2,8,73.2,0
39.1,38.8,4.2,100.0,40.0,2,6,60.9,0
48.3,60.6,5.7,89.0,45.7,2,5,51.7,0
55.7,76.5,5.2,99.6,41.7,2,3,44.3,0
31.8,40.2,1.3,43.0,36.1,2,7,68.2,0
20.3,20.5,2.7,66.3,21.1,1,4,79.7,0
65.0,45.3,4.3,41.7,49.9,3,5,35.0,0
36.0,20.0,8.6,52.5,29.7,2,6,64.0,0
62.3,57.7,5.2,48.5,38.1,2,3,37.7,0
23.9,14.7,8.1,87.3,30.8,1,3,76.1,0
53.3,50.5,4.4,57.9,52.8,4,8,46.7,0
57.9,58.8,7.0,84.2,54.9,3,5,42.1,1
14.7,22.6,4.0,75.9,32.0,1,6,85.3,0
40.3,39.2,6.8,100.0,42.4,1,3,59.7,0
22.1,29.4,2.5,38.4,22.9,1,4,77.9,0
15.7,16.7,9.2,87.7,32.8,0,3,84.3,0
99.1,69.5,4.8,85.6,60.9,6,6,0.9,1
39.0,24.9,0.9,47.5,29.4,3,7,61.0,0
82.9,80.7,4.4,83.1,55.1,6,7,17.1,1
32.9,14.8,5.2,71.1,45.6,3,8,67.1,0
71.3,80.3,6.2,60.9,67.2,4,5,28.7,0
78.4,100.0,11.4,50.2,66.9,5,6,21.6,1
63.6,81.9,2.2,52.1,63.9,5,8,36.4,0
52.4,49.2,11.4,100.0,37.7,5,9,47.6,0
47.1,69.4,3.3,65.0,46.7,1,3,52.9,0
41.4,43.6,1.8,79.1,38.6,4,9,58.6,0
93.7,88.6,2.2,50.8,79.7,3,3,6.3,1
84.8,75.6,5.0,51.0,64.7,6,7,15.2,0
96.9,92.3,1.5,84.5,69.3,8,8,3.1,1
21.2,15.4,2.5,40.7,33.1,1,7,78.8,0
75.8,78.3,4.3,57.5,69.2,3,4,24.2,1
94.5,96.9,9.2,65.6,65.0,9,9,5.5,1
26.3,26.4,6.1,67.0,30.2,2,9,73.7,0
16.0,22.5,3.4,61.8,14.0,1,7,84.0,0
76.7,94.6,5.0,72.1,36.0,3,4,23.3,1
61.7,75.9,4.0,77.5,54.0,2,3,38.3,0
85.8,63.5,1.2,78.2,72.5,7,8,14.2,0
22.6,0.0,10.2,47.3,31.2,1,4,77.4,0
81.6,95.6,9.3,59.9,44.4,7,8,18.4,1
28.1,7.6,3.1,86.5,28.4,3,9,71.9,0
24.7,21.4,2.3,81.1,7.7,2,8,75.3,0
24.8,7.2,1.2,40.3,43.6,2,9,75.2,0
83.3,56.3,5.2,71.3,54.1,3,4,16.7,0
69.9,78.0,5.2,29.4,69.5,6,9,30.1,1
57.1,68.5,1.7,65.8,58.7,3,5,42.9,0
42.3,33.6,4.0,99.2,31.4,4,9,57.7,0
88.9,50.1,5.9,47.9,57.0,6,7,11.1,0
45.3,37.1,2.2,50.0,45.7,2,4,54.7,0
83.5,89.4,2.9,78.8,56.7,3,3,16.5,0
49.5,27.3,2.8,37.2,45.7,4,8,50.5,0
43.9,46.7,1.8,53.6,36.5,3,6,56.1,0
51.6,51.4,2.9,75.7,28.2,2,4,48.4,0
37.1,45.8,0.7,53.6,15.0,3,7,62.9,0
77.3,79.1,2.7,60.8,63.6,7,9,22.7,0
55.2,40.6,2.7,78.4,42.5,4,8,44.8,0
30.9,48.8,3.2,72.6,28.0,2,5,69.1,0
91.0,88.6,4.7,69.8,76.5,3,3,9.0,1
44.6,44.1,1.1,58.9,53.5,2,5,55.4,0
58.9,44.9,1.3,71.7,47.6,4,6,41.1,0
91.6,84.9,1.7,62.8,66.5,4,4,8.4,0
66.2,52.9,1.0,73.2,59.7,5,8,33.8,0
20.5,17.9,5.1,56.1,13.7,1,4,79.5,0
94.6,100.0,2.1,61.7,74.0,7,7,5.4,1
66.5,45.9,3.3,47.2,60.4,3,4,33.5,0
40.1,15.9,1.6,64.4,45.9,1,3,59.9,0
22.5,44.6,2.5,50.4,9.2,1,6,77.5,0
81.5,78.3,4.2,44.9,56.3,4,5,18.5,0
65.8,55.8,4.3,69.7,45.7,4,6,34.2,0
58.0,73.6,1.4,68.8,50.8,5,8,42.0,0
90.5,81.4,3.1,79.1,74.1,4,4,9.5,0
81.0,100.0,1.6,57.2,78.6,6,8,19.0,0
23.7,33.8,3.0,72.3,24.2,1,5,76.3,0
38.1,30.7,1.9,74.9,32.9,3,8,61.9,0
32.4,64.7,10.7,73.0,45.9,2,7,67.6,0
77.0,67.9,5.9,50.1,64.1,5,6,23.0,0
13.0,24.1,4.5,67.7,35.5,1,5,87.0,0
61.3,65.8,2.7,71.6,54.7,3,5,38.7,1
78.6,98.1,6.0,65.1,50.6,7,9,21.4,1
88.9,100.0,3.2,27.4,55.0,4,5,11.1,0
40.8,41.3,10.0,67.9,24.0,4,9,59.2,0
83.9,72.6,6.4,100.0,72.0,3,3,16.1,1
20.0,26.9,2.5,58.5,38.9,2,9,80.0,0
86.2,76.0,9.2,51.9,85.2,5,6,13.8,1
21.5,51.7,2.7,71.7,36.3,2,8,78.5,0
45.8,47.8,11.1,70.6,54.1,4,9,54.2,0
81.8,76.3,9.5,86.5,58.3,4,5,18.2,1
23.5,26.3,4.2,42.4,17.5,1,6,76.5,0
30.6,10.4,0.8,78.2,41.9,3,9,69.4,0
75.0,60.4,3.9,75.6,64.2,7,9,25.0,1
74.8,92.8,1.2,62.4,61.0,4,5,25.2,0
67.7,57.8,2.0,71.1,59.5,5,7,32.3,0
72.5,56.8,2.1,83.5,61.7,5,7,27.5,0
58.8,66.9,1.2,80.7,63.1,5,9,41.2,0
32.7,50.4,3.9,44.4,47.5,2,7,67.3,0
41.1,51.9,1.8,79.8,45.1,2,4,58.9,0
26.3,41.3,2.8,63.8,39.3,1,5,73.7,0
91.8,80.4,2.1,66.3,75.2,4,4,8.2,1
62.5,41.2,4.7,66.3,47.9,4,6,37.5,0
46.1,68.6,4.5,62.3,50.2,2,4,53.9,0
51.6,46.7,2.6,86.5,32.0,3,6,48.4,0
95.3,91.5,4.9,63.5,82.7,9,9,4.7,1
23.8,43.7,7.6,44.8,17.3,1,6,76.2,0
62.8,71.1,0.3,57.9,55.5,4,6,37.2,0
55.5,62.4,2.0,68.2,39.9,4,8,44.5,0
65.0,97.5,1.5,87.1,59.6,3,4,35.0,0
11.6,2.0,1.9,75.9,21.6,1,8,88.4,0
88.5,100.0,0.3,49.7,52.1,8,9,11.5,1
93.9,94.7,0.3,100.0,75.5,5,5,6.1,1
60.9,64.9,2.2,69.8,45.7,2,4,39.1,0
72.7,95.6,2.2,88.0,67.4,4,5,27.3,1
93.0,100.0,8.4,62.3,70.8,5,5,7.0,1
